AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,1,0,1,0,2,143,150
1,4,1,3,0,2,122,130
2,25,5,20,0,1,83,92
3,5,0,5,0,1,81,85
4,8,0,8,0,1,113,117
5,5,1,4,0,1,94,99
6,8,1,7,0,1,82,87
7,15,4,11,0,1,83,91
8,12,0,12,0,1,102,106
9,21,2,19,0,2,146,155
10,21,1,20,0,1,101,106
11,8,3,5,0,1,93,100
12,3,0,3,0,1,96,100
13,9,0,9,0,2,122,129
14,20,2,18,0,1,93,99
15,3,0,3,0,1,87,91
16,11,0,11,0,1,120,124
17,6,1,5,0,1,102,107
18,14,3,11,1,1,88,97
19,6,2,4,1,1,85,93
Total,205,26,179,2,24,2036,2158
